College_ID,Prev_Sem_Result,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement
CLG0016,9.06,8.91,5,No,1,9,4,Yes
CLG0001,9.14,8.73,2,Yes,7,6,2,Yes
CLG0041,7.85,7.65,6,No,6,3,3,No
CLG0093,6.53,6.17,7,No,0,4,3,No
CLG0027,6.09,6.06,1,No,8,9,0,No
CLG0077,6.64,6.3,3,No,2,6,5,No
CLG0062,8.14,8.1,4,No,2,8,1,Yes
CLG0081,5.86,5.58,2,No,0,7,4,No
CLG0028,6.29,6.53,10,Yes,10,1,1,No
CLG0020,7.34,6.87,5,Yes,3,1,2,No
CLG0055,6.17,6.22,4,No,9,10,4,No
CLG0051,7.94,7.61,2,No,10,7,2,No
CLG0069,9.62,9.12,1,Yes,1,2,1,No
CLG0088,8.74,9.11,8,No,2,9,0,Yes
CLG0073,8.33,8.5,2,No,10,10,3,Yes
CLG0097,7.91,7.51,4,No,0,9,1,No
CLG0034,7.44,7.6,10,Yes,2,2,4,No
CLG0027,5.93,6.04,5,No,3,9,3,Yes
CLG0097,9.47,9.44,2,No,5,9,4,Yes
CLG0038,6.24,6.16,10,No,2,10,2,No
CLG0029,5.46,5.85,9,Yes,10,6,4,No
CLG0035,8.75,8.5,2,No,5,5,0,No
CLG0020,5.88,5.78,6,No,1,10,2,No
CLG0019,6.86,6.69,7,No,10,2,5,No
CLG0005,5.14,5.41,6,No,7,6,5,No
CLG0025,5.69,6.11,4,No,4,9,1,No
CLG0093,5.87,6.22,1,No,0,3,3,No
CLG0026,5.27,5.57,2,No,5,3,3,No
CLG0051,8.28,8.77,10,No,2,4,0,No
CLG0066,9.19,9.39,10,Yes,3,10,4,Yes
CLG0061,6.87,7.12,6,No,9,4,1,No
CLG0015,9.37,9.85,8,Yes,7,1,5,No
CLG0045,6.07,5.58,3,Yes,7,2,4,No
CLG0006,6.63,6.76,7,No,10,6,5,No
CLG0058,5.75,5.99,9,No,7,5,4,No
CLG0001,8.1,8.52,4,Yes,4,10,0,No
CLG0073,7.1,7.48,7,No,0,4,5,No
CLG0043,8.07,8.41,7,No,8,10,2,Yes
CLG0016,8.81,9.26,10,No,10,9,5,Yes
CLG0014,7.73,7.77,9,Yes,8,2,2,No
CLG0074,8.14,7.65,3,No,7,8,0,No
CLG0019,9.68,9.19,1,Yes,10,4,0,No
CLG0051,6.5,6.54,8,Yes,2,9,0,No
CLG0008,6.8,6.74,4,No,5,4,4,No
CLG0048,8.59,8.54,2,No,6,2,5,No
CLG0012,8.06,7.96,5,No,3,6,5,No
CLG0070,5.89,6.31,4,No,9,9,4,No
CLG0035,6.88,6.74,1,Yes,6,7,1,No
CLG0070,7.34,7.7,7,No,8,1,0,No
CLG0006,7.1,7.5,4,No,5,9,4,No
CLG0099,5.89,5.89,8,Yes,1,6,2,No
CLG0011,9.62,9.57,9,No,5,9,5,Yes
CLG0038,8.81,9.07,8,Yes,2,2,5,No
CLG0091,7.41,7.62,1,No,6,7,0,No
CLG0026,8.4,8.23,8,Yes,2,8,2,Yes
CLG0028,9.49,9.09,5,No,7,8,3,Yes
CLG0072,5.68,5.44,1,Yes,10,5,1,No
CLG0089,6.25,5.88,9,Yes,10,7,3,No
CLG0083,7.71,7.5,9,No,4,7,1,No
CLG0080,9,8.76,7,No,2,3,0,No
CLG0050,5.18,5.32,7,No,0,2,5,No
CLG0058,9.92,10.37,1,No,4,5,1,No
CLG0026,7.27,7.46,9,No,9,4,4,No
CLG0044,6.8,7.23,1,Yes,9,8,2,No
CLG0015,6.46,6.74,7,No,10,5,5,No
CLG0076,5.87,6.1,9,No,2,9,4,No
CLG0024,8.96,8.87,9,No,3,7,0,No
CLG0077,9.78,9.6,5,No,9,1,3,Yes
CLG0059,7.07,7.42,6,No,3,2,2,No
CLG0057,9.76,10.17,2,No,2,8,0,No
CLG0017,9.12,9.07,2,No,5,10,4,Yes
CLG0077,7.41,6.92,10,No,5,8,4,No
CLG0081,8.37,8.66,9,No,0,2,1,No
CLG0001,7.17,6.96,1,No,3,7,1,No
CLG0011,7.79,7.3,10,Yes,0,8,3,No
CLG0020,5.29,5.59,5,Yes,6,4,1,No
CLG0031,8.48,8.5,7,No,6,3,1,No
CLG0099,5.26,5.45,10,Yes,5,10,1,No
CLG0039,9.09,9.5,6,No,10,9,3,Yes
CLG0063,9.12,9.16,6,No,1,2,0,No
CLG0006,6.19,6.19,6,No,3,3,5,No
CLG0099,6.62,6.41,8,No,2,8,2,No
CLG0028,7.41,7.22,7,Yes,10,2,0,No
CLG0051,7.98,8.28,5,No,7,5,5,Yes
CLG0053,6.44,6.39,10,No,1,10,5,No
CLG0044,7.96,7.62,2,Yes,9,8,0,No
CLG0065,6.49,6.08,10,No,1,7,0,No
CLG0080,5.28,5.25,6,Yes,0,4,4,No
CLG0012,5.01,4.97,10,No,8,10,2,No
CLG0028,5.51,5.66,5,No,2,9,2,No
CLG0079,8.96,8.93,4,Yes,7,2,4,No
CLG0072,9.81,9.45,10,No,6,7,5,No
CLG0068,7.13,7.14,5,No,0,7,4,No
CLG0095,7.56,7.97,9,No,10,7,5,No
CLG0030,5.73,5.39,2,Yes,5,7,1,No
CLG0035,7.76,7.95,6,No,7,5,4,No
CLG0006,5.72,5.81,9,No,5,1,3,No
CLG0085,8.06,8.31,10,No,8,4,4,No
CLG0030,9.67,9.32,5,Yes,9,5,1,No
CLG0080,5.98,6.42,6,No,2,10,4,No
CLG0063,8.82,8.94,10,No,5,4,3,No
CLG0008,5.12,5.47,4,Yes,9,7,4,No
CLG0091,6.88,6.63,5,No,3,2,5,No
CLG0033,5.55,5.79,8,No,9,2,0,No
CLG0043,6.76,7.04,1,Yes,2,2,2,No
CLG0076,5.87,5.77,1,Yes,7,10,3,No
CLG0043,6.87,6.75,10,Yes,6,3,3,No
CLG0045,7.09,7.25,4,Yes,6,5,3,No
CLG0087,6.5,6.09,10,Yes,4,10,5,Yes
CLG0054,8.28,8.52,3,Yes,0,9,0,Yes
CLG0065,9.59,9.13,5,Yes,5,3,0,No
CLG0007,7,6.69,10,Yes,5,6,2,No
CLG0036,5.96,6.12,8,Yes,2,6,1,No
CLG0025,6.35,5.95,1,No,4,6,2,No
CLG0085,9.27,9.74,5,No,8,5,3,No
CLG0037,7.86,8.23,5,No,6,2,3,No
CLG0012,7.28,7.41,2,Yes,7,1,3,No
CLG0032,5.75,6.07,5,Yes,8,5,2,No
CLG0049,7.25,7.64,8,Yes,5,8,1,No
CLG0038,6.39,6.15,10,Yes,4,10,1,No
CLG0056,9.72,10.07,7,No,9,5,2,No
CLG0080,9.42,9.11,2,No,4,3,5,Yes
CLG0065,5.42,5.33,6,Yes,4,3,3,No
CLG0026,7.58,7.64,10,No,3,2,2,No
CLG0057,6.13,6.34,1,No,1,7,2,No
CLG0014,7.05,6.58,10,No,6,2,4,No
CLG0056,9.38,9.17,10,Yes,6,6,4,No
CLG0070,7.64,7.75,3,Yes,7,8,0,No
CLG0041,6.67,6.53,6,No,7,8,0,No
CLG0051,6.04,6.32,9,Yes,10,2,2,No
CLG0084,9,9.15,1,No,7,6,4,No
CLG0067,8.12,7.85,6,Yes,8,3,3,No
CLG0012,7.34,6.99,2,Yes,5,9,0,No
CLG0097,6.09,6.22,9,Yes,3,3,3,No
CLG0049,6.67,6.62,2,Yes,1,1,3,No
CLG0001,9.8,9.47,3,No,4,9,0,No
CLG0019,7.6,7.43,2,Yes,5,8,5,No
CLG0066,7,6.8,4,Yes,6,2,2,No
CLG0058,7.61,7.22,4,No,5,10,4,No
CLG0087,8.89,8.94,10,Yes,3,10,0,No
CLG0072,6.7,6.96,1,Yes,3,3,1,No
CLG0098,5.89,5.97,8,Yes,6,7,1,No
CLG0004,7.92,8.25,5,Yes,0,6,3,No
CLG0008,8.33,7.96,8,No,2,8,1,No
CLG0027,8.56,8.5,6,Yes,9,10,3,Yes
CLG0026,9.41,9.52,2,No,1,5,5,Yes
CLG0097,6.86,7.04,7,No,1,5,5,No
CLG0043,5.38,5.58,10,No,6,2,5,No
CLG0040,9.79,10.02,9,No,4,6,5,No
CLG0050,7.18,7.33,7,Yes,2,5,5,No
CLG0067,8.12,7.71,5,No,8,9,4,No
CLG0073,8.33,8.53,4,No,8,3,0,No
CLG0074,7.73,7.95,8,No,2,5,0,No
CLG0029,6.03,6.52,6,No,1,3,4,No
CLG0085,8.78,8.97,5,Yes,2,9,3,Yes
CLG0042,9.02,9.21,7,Yes,8,9,5,Yes
CLG0018,7.76,7.77,3,Yes,7,10,2,No
CLG0081,7.44,7.81,9,No,2,7,1,No
CLG0021,5.57,6.07,4,No,3,1,5,No
CLG0067,5.42,5.7,4,No,4,9,4,No
CLG0062,6.7,6.81,8,No,3,9,1,No
CLG0027,6.55,6.13,6,Yes,10,10,2,No
CLG0096,9.77,10,1,Yes,1,5,3,Yes
CLG0093,8.92,9.13,2,No,10,2,5,No
CLG0047,8.3,8.58,9,No,8,1,1,No
CLG0093,7.59,7.21,6,No,1,2,3,No
CLG0026,5.84,5.99,7,Yes,4,4,5,No
CLG0009,9.89,9.69,9,No,10,4,2,Yes
CLG0091,6.88,7.14,3,Yes,8,1,3,No
CLG0012,5.53,5.27,5,Yes,7,8,2,No
CLG0016,7.47,7.65,5,Yes,0,10,0,No
CLG0047,9.37,9.16,10,No,2,8,1,No
CLG0056,9.44,8.95,7,Yes,9,8,1,No
CLG0066,5.05,5.18,2,Yes,8,5,2,No
CLG0051,9.43,9.04,4,No,2,10,2,Yes
CLG0027,6.36,6.52,4,No,10,2,4,No
CLG0073,5.19,5.62,8,Yes,3,4,2,No
CLG0066,9.24,9.71,10,Yes,2,1,2,No
CLG0062,9.32,9.06,3,No,6,10,3,Yes
CLG0071,7.98,8.29,2,No,8,1,3,No
CLG0008,7.87,7.72,9,No,3,10,1,No
CLG0038,9.07,9.47,4,No,8,3,3,Yes
CLG0006,8.93,9.22,9,Yes,1,4,3,No
CLG0059,9.45,9.02,6,No,1,3,1,No
CLG0019,7.76,7.67,1,No,8,3,5,No
CLG0079,9.84,9.68,3,No,6,8,0,Yes
CLG0056,9.98,10.27,7,No,4,4,4,No
CLG0028,5.58,5.49,9,Yes,4,3,3,No
CLG0094,9.25,9.43,8,Yes,8,9,0,No
CLG0091,7.5,7.6,5,Yes,10,1,4,No
CLG0010,6.94,7.42,8,Yes,3,8,1,No
CLG0045,8.07,8.51,2,No,10,5,3,No
CLG0095,5.28,5.21,3,No,0,8,5,No
CLG0065,7.53,7.75,8,No,5,10,3,Yes
CLG0050,9.35,9.68,9,Yes,2,3,2,Yes
CLG0032,6.07,6.47,10,No,1,6,3,No
CLG0061,7.13,6.7,8,Yes,3,7,3,No
CLG0016,9.7,9.5,4,Yes,8,8,0,No
CLG0006,7.14,6.96,6,No,7,7,0,No
CLG0066,6.79,6.72,5,Yes,6,7,3,No
CLG0062,7.2,6.87,4,No,1,2,5,No
CLG0066,7.6,7.6,9,Yes,0,3,4,No
CLG0067,8.16,8.32,10,No,6,6,1,No
CLG0019,9,9,3,No,9,3,5,No
CLG0004,7.26,7.43,1,No,4,9,0,No
CLG0043,9.09,8.66,7,No,10,9,5,Yes
CLG0018,7.67,8.05,10,Yes,7,6,5,No
CLG0082,6.69,7.13,8,Yes,4,1,4,No
CLG0046,8.29,8.41,3,No,9,1,5,Yes
CLG0046,8.59,8.97,3,No,4,4,3,No
CLG0085,7.79,7.42,6,No,7,10,2,No
CLG0021,5.28,5.58,2,No,8,8,0,No
CLG0030,5.85,5.47,6,No,1,3,5,No
CLG0064,6.43,6.34,5,No,7,4,0,No
CLG0041,6.41,6.23,7,No,6,6,2,No
CLG0017,8.37,8.46,9,No,7,9,3,Yes
CLG0005,5.09,4.89,9,No,2,4,0,No
CLG0005,8.78,8.92,1,No,3,3,3,No
CLG0073,6.33,6.2,7,No,6,10,4,No
CLG0075,6.55,6.91,3,No,4,10,0,No
CLG0048,7.64,7.77,4,Yes,6,9,3,No
CLG0078,6.08,5.8,2,Yes,5,7,4,No
CLG0038,9.42,9.26,1,No,3,9,5,Yes
CLG0006,5.43,5.78,10,Yes,1,10,0,No
CLG0058,7.22,7.11,3,Yes,5,6,1,No
CLG0014,9.25,9.29,10,No,5,4,3,No
CLG0072,8.08,8.23,9,No,5,5,4,Yes
CLG0094,6.46,6.31,1,Yes,0,10,5,No
CLG0059,7.1,6.89,3,No,5,2,1,No
CLG0065,8.53,8.51,5,Yes,1,3,3,No
CLG0089,9.87,9.58,3,No,9,5,0,No
CLG0013,9.47,9.25,4,No,4,3,5,No
CLG0027,6.71,6.27,4,No,6,3,3,No
CLG0025,9.99,9.79,1,Yes,9,9,4,Yes
CLG0056,5.02,4.84,6,Yes,0,4,0,No
CLG0068,5.14,5.6,7,Yes,4,4,0,No
CLG0059,9.12,9.21,7,Yes,8,1,5,No
CLG0095,6,6.29,6,No,2,7,0,No
CLG0049,5.3,4.85,7,No,1,10,2,Yes
CLG0018,6.19,5.8,3,Yes,9,9,4,No
CLG0081,7.13,7.44,5,Yes,1,8,1,No
CLG0075,8.65,8.77,7,Yes,2,2,0,No
CLG0076,8.12,7.81,10,No,0,6,4,No
CLG0003,6.19,6.09,5,Yes,1,10,2,No
CLG0079,7.52,7.56,10,Yes,5,10,2,Yes
CLG0057,9.63,9.97,2,Yes,7,5,5,No
CLG0006,9.08,8.64,6,No,3,8,0,No
CLG0069,6.62,6.72,7,Yes,1,1,4,No
CLG0031,9.91,10.13,2,No,4,9,2,Yes
CLG0008,8.54,9.02,10,No,2,9,0,No
CLG0010,5.31,5.62,8,Yes,4,7,5,No
CLG0003,5.18,4.96,5,Yes,2,8,3,No
CLG0012,5.84,6.05,8,No,10,9,3,No
CLG0092,8.64,8.9,3,No,3,5,3,Yes
CLG0076,5.92,6.15,2,Yes,4,2,1,No
CLG0094,7.56,7.88,7,Yes,6,1,4,No
CLG0019,5.47,5.87,5,Yes,1,5,5,No
CLG0021,9.6,9.2,5,No,5,8,3,Yes
CLG0081,6.72,6.32,8,No,5,10,2,No
CLG0014,9.54,9.84,9,No,5,4,1,No
CLG0075,9.72,9.47,8,Yes,6,4,3,No
CLG0029,5.03,4.59,10,No,10,4,0,No
CLG0007,7.32,7.22,2,No,2,8,2,No
CLG0049,5.12,5.44,10,Yes,4,7,1,No
CLG0065,9.54,9.17,7,No,8,1,1,No
CLG0007,7.59,7.76,5,No,8,10,2,Yes
CLG0014,5.37,4.87,7,Yes,6,6,3,No
CLG0016,5.55,5.16,3,Yes,8,4,5,No
CLG0099,6.92,6.77,4,Yes,2,2,5,No
CLG0016,9.7,9.28,7,No,6,3,0,No
CLG0085,8.46,8.81,2,No,0,4,0,No
CLG0013,9.34,9.7,2,No,6,10,5,Yes
CLG0082,6.83,7.09,1,Yes,2,7,5,No
CLG0029,5.22,4.96,1,No,2,1,0,No
CLG0085,9.87,9.89,1,Yes,6,1,1,No
CLG0073,5.09,4.77,6,Yes,7,3,3,No
CLG0095,9.74,9.52,5,Yes,3,2,5,Yes
CLG0061,6.84,6.86,10,Yes,0,3,5,No
CLG0037,5.05,5.29,8,No,4,3,2,No
CLG0017,8.45,8.04,5,Yes,9,1,4,No
CLG0031,9.9,9.7,1,Yes,3,6,0,No
CLG0059,9.83,10.26,8,No,8,8,2,Yes
CLG0088,5.8,5.73,6,No,2,5,5,No
CLG0047,5.91,6.35,8,Yes,3,1,5,No
CLG0006,7.83,8.32,2,Yes,9,10,2,Yes
CLG0032,8.19,8.22,10,Yes,2,7,5,No
CLG0031,8.7,8.49,8,No,2,10,0,No
CLG0018,5.91,6.2,6,No,6,9,4,No
CLG0009,9.8,9.46,1,No,4,7,1,No
CLG0003,8.19,7.94,1,Yes,4,9,1,No
CLG0071,9.24,9.52,10,No,3,10,3,Yes
CLG0026,7.7,7.63,5,No,9,9,5,No
CLG0013,7.07,6.77,7,Yes,7,2,1,No
CLG0034,9.89,10.04,4,No,0,8,2,Yes
CLG0043,7.91,8.14,10,No,10,7,1,No
CLG0093,9.33,8.96,5,No,8,7,3,No
CLG0033,9.77,9.55,10,No,10,2,2,No
CLG0069,8.38,8.1,3,No,8,1,2,No
CLG0036,7.74,7.62,2,No,10,4,4,No
CLG0079,5.02,5.28,2,No,4,7,5,No
CLG0074,5.2,5.41,5,No,0,6,0,No
CLG0068,6,6.16,4,Yes,1,10,0,No
CLG0047,5.93,5.44,2,No,1,2,0,No
CLG0061,6.27,5.91,5,Yes,5,7,3,No
CLG0045,6.52,6.24,10,Yes,9,10,1,No
CLG0096,6.8,6.57,9,No,8,9,0,No
CLG0088,7.1,6.75,8,No,2,2,1,No
CLG0084,5.49,5.4,9,No,7,10,0,No
CLG0048,5.21,4.79,9,No,1,5,4,No
CLG0041,8.37,8.62,8,No,4,2,1,No
CLG0038,7.69,7.98,9,No,3,1,3,No
CLG0068,7.22,7.29,4,No,4,7,5,No
CLG0075,8.17,7.76,8,Yes,3,2,5,No
CLG0011,9.14,9.53,2,No,0,6,3,No
CLG0016,7.14,7.61,9,No,0,7,1,No
CLG0065,8.21,7.91,9,No,5,1,5,No
CLG0097,9.77,9.97,3,No,7,9,3,Yes
CLG0071,9.2,9.54,6,No,6,6,2,No
CLG0067,7.13,7.17,7,Yes,3,2,3,No
CLG0071,8.22,8.04,3,Yes,4,1,4,No
CLG0001,5.89,5.87,5,No,7,1,4,No
CLG0097,7.8,7.81,1,No,5,2,1,No
CLG0071,9.91,9.81,3,Yes,7,9,3,Yes
CLG0004,7.59,8.02,8,No,5,2,1,No
CLG0082,9.64,9.88,3,No,7,1,0,No
CLG0037,7.04,6.78,8,Yes,3,4,2,No
CLG0014,9.99,10.08,9,No,9,9,1,No
CLG0079,7.9,8.09,6,Yes,1,8,1,No
CLG0025,5.21,4.85,7,No,2,7,1,No
CLG0082,7.93,7.79,6,No,4,8,5,Yes
CLG0004,6.37,6.78,8,No,3,2,1,No
CLG0066,5.16,5.23,7,No,4,5,5,No
CLG0043,9.1,8.82,10,No,0,7,4,No
CLG0026,6.38,6,1,No,0,1,2,No
CLG0084,8.98,9,3,Yes,1,6,0,No
CLG0015,6.44,6.49,3,No,10,7,2,No
CLG0006,5.97,5.8,3,No,1,8,1,No
CLG0037,9.87,10,4,Yes,7,5,4,No
CLG0043,6.81,6.38,1,No,9,8,0,No
CLG0042,8.01,7.66,2,Yes,3,10,5,Yes
CLG0013,8.05,8.1,5,No,5,1,1,No
CLG0016,7.8,7.36,6,Yes,1,4,5,No
CLG0042,9.57,9.95,9,Yes,0,6,1,No
CLG0038,8.37,8.01,2,No,6,4,3,No
CLG0066,7.02,7.19,9,No,3,5,2,No
CLG0065,9.31,9.2,7,No,3,2,2,No
CLG0005,5.91,5.81,9,No,1,7,2,No
CLG0030,7.72,7.98,4,Yes,8,9,3,No
CLG0095,9.75,9.75,7,Yes,1,7,4,No
CLG0043,8.13,8.36,1,Yes,4,1,4,No
CLG0032,9.08,9.09,8,No,5,2,4,No
CLG0067,8.27,8.36,7,Yes,2,8,5,Yes
CLG0067,9.2,9.46,7,No,10,1,0,No
CLG0042,9.72,9.83,2,Yes,2,2,3,No
CLG0005,6.36,6.48,10,Yes,5,5,3,No
CLG0099,5.85,6.14,9,Yes,4,6,4,No
CLG0086,7.42,7.87,8,No,4,1,4,No
CLG0096,8.51,8.39,1,Yes,4,1,4,No
CLG0059,6.14,6.22,1,Yes,8,2,3,No
CLG0023,5.02,4.61,5,No,7,3,4,No
CLG0008,6.71,6.57,2,Yes,3,9,2,Yes
CLG0068,9.84,9.75,1,No,5,3,4,No
CLG0070,8.47,8.81,10,No,4,8,2,Yes
CLG0091,7.01,7.02,8,Yes,10,6,1,No
CLG0019,5.96,6.19,4,No,5,10,1,No
CLG0044,6.78,6.3,2,No,10,5,3,No
CLG0093,5.85,5.81,5,No,7,9,0,No
CLG0038,5.53,5.93,6,Yes,5,8,5,Yes
CLG0044,9.53,9.25,8,Yes,5,3,1,No
CLG0006,9.99,9.52,7,No,1,7,3,No
CLG0003,5.82,5.75,7,Yes,6,4,3,No
CLG0096,5.27,5.47,1,No,2,8,2,No
CLG0080,6.65,6.6,3,No,6,7,2,No
CLG0033,7.31,7.27,3,Yes,4,3,4,No
CLG0066,6.02,6.19,7,No,3,7,5,No
CLG0058,6.51,6.26,2,Yes,9,6,1,No
CLG0026,6,6.25,10,Yes,0,6,2,No
CLG0099,8.87,8.52,7,No,7,10,0,No
CLG0028,8.56,8.46,9,Yes,1,3,5,Yes
CLG0043,8.17,8.33,1,No,9,4,3,No
CLG0075,6.94,7.27,2,No,7,4,5,No
CLG0088,9.55,9.84,6,No,6,6,4,No
CLG0016,9.85,10.07,2,No,2,9,2,Yes
CLG0089,5.87,5.73,2,Yes,10,5,2,No
CLG0023,6.12,5.74,5,No,6,8,2,No
CLG0059,7.63,7.35,7,No,0,5,5,No
CLG0035,5.46,5.82,4,Yes,4,6,1,No
CLG0089,7.18,7.54,6,Yes,1,6,5,No
CLG0041,7.91,8.36,3,No,1,4,2,No
CLG0097,7.61,7.19,4,Yes,2,10,5,No
CLG0022,6.65,6.69,4,No,6,10,3,No
CLG0074,7.71,7.86,4,No,1,5,2,No
CLG0001,9.79,10,1,Yes,3,4,5,No
CLG0046,6.03,6.17,4,No,3,2,0,No
CLG0022,8.27,8.54,4,Yes,0,2,2,No
CLG0032,5.22,5.08,6,Yes,6,8,4,No
CLG0087,5.33,5.01,9,No,3,4,4,No
CLG0030,7.76,7.46,10,Yes,0,9,0,No
CLG0087,5.52,5.03,6,No,2,6,4,No
CLG0043,5.11,4.96,6,No,7,5,1,No
CLG0012,5.86,5.45,7,No,3,7,3,No
CLG0083,7.82,7.64,7,Yes,0,6,3,No
CLG0071,8.52,8.65,1,No,6,4,1,No
CLG0027,6.01,6.4,8,No,7,10,4,No
CLG0026,8.34,8.68,1,No,4,9,0,No
CLG0018,5.91,5.66,9,Yes,8,6,0,No
CLG0092,8.07,7.7,4,No,6,3,3,No
CLG0075,7.06,6.75,9,No,3,4,5,No
CLG0066,8.27,8.74,8,No,8,4,0,No
CLG0081,9.98,10.03,9,Yes,5,8,1,Yes
CLG0061,9.69,9.37,6,Yes,10,5,3,No
CLG0046,5.02,5.36,9,Yes,7,8,2,No
CLG0029,9.43,9.33,4,Yes,1,8,1,No
CLG0032,5.33,5.73,3,Yes,4,6,1,No
CLG0015,9.77,9.53,3,No,2,5,0,No
CLG0060,6.41,6.3,8,No,4,2,5,No
CLG0082,6.91,6.91,2,Yes,7,1,0,No
CLG0028,5.46,5.85,6,No,5,7,0,No
CLG0027,5.56,5.93,9,Yes,0,10,2,No
CLG0041,8.63,8.7,9,No,6,10,1,No
CLG0047,9.72,9.44,8,Yes,9,7,4,Yes
CLG0033,8.05,7.95,8,Yes,0,2,3,No
CLG0044,8.58,9.06,1,Yes,0,3,0,No
CLG0050,8.81,8.92,7,No,3,8,0,No
CLG0010,6.31,6.59,1,No,8,4,1,No
CLG0024,5.23,5.18,9,No,7,5,2,No
CLG0034,5.01,5.04,3,No,9,7,0,No
CLG0091,6.75,6.68,1,No,2,8,2,No
CLG0020,6.21,6.41,8,No,5,1,2,No
CLG0025,5.31,5.66,7,No,0,7,4,No
CLG0055,5.9,5.91,2,Yes,9,3,2,No
CLG0090,5.62,5.6,7,Yes,0,5,4,No
CLG0043,9.57,9.41,5,No,5,1,3,No
CLG0053,5.7,5.38,7,No,4,3,2,No
CLG0085,7.69,8.13,10,Yes,5,5,3,No
CLG0050,7.97,7.79,7,No,8,1,2,No
CLG0055,7.72,8.02,2,Yes,4,2,4,Yes
CLG0013,5.5,5.72,2,No,1,3,4,No
CLG0049,6.59,6.88,7,Yes,0,8,3,No
CLG0097,5.26,5.7,3,Yes,10,5,1,No
CLG0010,6.98,7.1,4,No,1,5,1,No
CLG0092,5.94,6.34,7,No,7,3,1,No
CLG0097,7.81,7.48,2,No,0,9,2,Yes
CLG0011,8.46,8.59,2,No,5,9,1,Yes
CLG0078,7.66,7.93,9,No,4,2,3,No
CLG0084,7.17,6.94,1,No,9,8,1,No
CLG0100,6.94,7.18,3,Yes,10,1,3,No
CLG0020,9.21,9.49,10,Yes,8,5,3,No
CLG0072,6.1,6.43,4,No,3,7,5,No
CLG0079,8.67,8.48,5,No,4,8,2,Yes
CLG0097,8.79,8.97,3,No,4,8,5,Yes
CLG0083,7.1,6.9,9,Yes,10,6,4,No
CLG0048,6.49,6.73,5,No,1,7,2,No
CLG0076,7.35,7.31,7,No,10,4,2,No
